"id_str","full_text","text_clean","label"
"1.86734870833527E+018","Gelar Makan Bergizi Gratis, HNSI Siap Berkolaborasi dengan Pemerintah

https://t.co/DoW1PZ0cZ6","gelar makan bergizi gratis hnsi siap berkolaborasi dengan pemerintah","0"
"1.86794128694442E+018","#SahabatBahari berikut keseruan dari pelaksanaan Makan Bergizi Gratis yang dilaksanakan BRPBAP3 Maros. Para siswa juga menyampaikan rasa terima kasih atas adanya kegiatan Makan Bergizi Gratis ini. 
https://t.co/HshYoYnDzx","sahabatbahari berikut keseruan dari pelaksanaan makan bergizi gratis yang dilaksanakan brpbap maros para siswa juga menyampaikan rasa terima kasih atas adanya kegiatan makan bergizi gratis ini","0"
"1.86745188812132E+018","""Memang Rp 10 ribu, Rp 15 ribu, itu semua cukup kalau misalnya kita berikan sesuai porsi,"" ujar Kepala Bapanas Arief yang yakin harga satuan porsi program makan bergizi gratis cukup. https://t.co/lKfuQXItaV","memang rp ribu rp ribu itu semua cukup kalau misalnya kita berikan sesuai porsi ujar kepala bapanas arief yang yakin harga satuan porsi program makan bergizi gratis cukup","0"
"1.86725772222131E+018","Presiden ke-5 RI, Megawati Soekarnoputri menyinggung program Makan Bergizi Gratis (MBG) yang digagas Presiden Prabowo Subianto. Dia setuju dengan program itu, namun meminta Prabowo untuk menghitung lagi harga Rp 10 ribu per menu untuk program itu.

""Kuhitung Rp 10 ribu toh apa https://t.co/WlEGKpjErW","presiden ke ri megawati soekarnoputri menyinggung program makan bergizi gratis mbg yang digagas presiden prabowo subianto dia setuju dengan program itu namun meminta prabowo untuk menghitung lagi harga rp ribu per menu untuk program itu kuhitung rp ribu toh apa","1"
"1.86737935127437E+018","Rayakan HUT ke -19, Bakamla Zona Barat Beri Makan Bergizi Gratis kepada Murid SD di Sagulung

https://t.co/CkaGKXIzjZ","rayakan hut ke bakamla zona barat beri makan bergizi gratis kepada murid sd di sagulung","0"
"1.86749306640556E+018","#SahabatBahari Program Makan Bergizi Gratis (MBG) hadir sebagai salah satu upaya untuk memastikan akses gizi sehat bagi anak-anak usia dini hingga pendidikan dasar di berbagai daerah di Indonesia. 

Program ini dilaksanakan oleh lembaga koperasi yang dibina oleh Ditjen Jenderal https://t.co/kQ29Yoz6Bf","sahabatbahari program makan bergizi gratis mbg hadir sebagai salah satu upaya untuk memastikan akses gizi sehat bagi anakanak usia dini hingga pendidikan dasar di berbagai daerah di indonesia program ini dilaksanakan oleh lembaga koperasi yang dibina oleh ditjen jenderal","0"
"1.867122589078E+018","Lanud Adi Soemarmo Uji Coba Memasak Guna Mendukung Program Makan Bergizi Gratis

Untuk mendukung dan mensukseskan progam pemerintah makan bergizi gratis, Pangkalan TNI Angkatan Udara (Lanud) Adi Soemarmo uji coba memasak guna mendukung program makan bergizi gratis bertempat di https://t.co/SHefCyAETz","lanud adi soemarmo uji coba memasak guna mendukung program makan bergizi gratis untuk mendukung dan mensukseskan progam pemerintah makan bergizi gratis pangkalan tni angkatan udara lanud adi soemarmo uji coba memasak guna mendukung program makan bergizi gratis bertempat di","0"
"1.86774927403904E+018","Soal Program Makan Bergizi Gratis, Senator Ahmad Syauqi Soeratno Serap Aspirasi Masyarakat DIY https://t.co/Nmp9jQwNvt https://t.co/SYvXASe4Bt","soal program makan bergizi gratis senator ahmad syauqi soeratno serap aspirasi masyarakat diy","0"
"1.86788804590058E+018","DKP Maluku bagikan 1.121 paket makan bergizi gratis pada siswa SD. 
https://t.co/qJXqOCTHgW","dkp maluku bagikan paket makan bergizi gratis pada siswa sd","0"
"1.86745681800146E+018","Lewat Pembiayaan dan Pemberdayaan, BRI Sukseskan Program Makan Bergizi Gratis https://t.co/Ar7mWG887d lewat @Keuangan News","lewat pembiayaan dan pemberdayaan bri sukseskan program makan bergizi gratis lewat news","0"
